OBJECTID,parkName,altPrkName,parkAddr,addressFull,prkAcreage,bcrpPark,parkOprtr,parkClass,ctyOwndPrk,bcrpAmnty,parkDstrct,cnclDstrct,policeDstrct,lgsltvDstrct,friendsGroup,Shape__Area,Shape__Length,perTreeCover18,perGreenSpace18,perUndvlpEst18,undvlpAcreage18,siteID
87,Harlem Inner Block Park K 101,Harlem Inner Block Parks,1300 Harlem Ave,"1300 HARLEM AVE, BALTIMORE, MD, 21217",0.254307789069479,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,11077.6916503906,609.198864486603,93.5471613675557,97.0522986023683,61.9907946199662,0.157648680410297,P87
88,Harlem Inner Block Park L 102,Harlem Inner Block Parks,1201 W Lanvale St,"1201 WEST LANVALE ST, BALTIMORE, MD, 21217",0.347053675081493,Y,BCRP,Mini Park,Y,,Gwynns Falls,9,Western,40,Unknown,15117.7186279297,911.707573312638,90.5864448194518,95.5738028930654,56.1241889071441,0.194782618468196,P88
89,Harlem Inner Block Park N 104,Harlem Inner Block Parks,711 N Arlington Ave,"711 NORTH ARLINGTON AVE, BALTIMORE, MD, 21217",0.817655184821314,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,35617.2026367188,1180.26070901458,57.325989887533,80.9929224711639,24.168255955973,0.197614578816787,P89
90,Harlem Inner Block Park P 110,Harlem Inner Block Parks,610 N Vincent St,"610 NORTH VINCENT ST, BALTIMORE, MD, 21217",0.208180498525649,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,9068.37884521484,540.888989848658,22.1463878944329,85.3171112558907,,,P90
91,Harlem Inner Block Park R 113,Harlem Inner Block Parks,1211 Harlem Ave,"1211 HARLEM AVE, BALTIMORE, MD, 21217",0.564556537492055,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,24592.1809692383,1121.23239150445,75.1193977395361,97.3127868888818,34.6615411214278,0.195685561876316,P91
92,Harlem Inner Block Park U 120,Harlem Inner Block Parks,1820 Lauretta Ave,"1820 LAURETTA AVE, BALTIMORE, MD, 21223",0.638062446818613,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,27794.1112060547,1300.80448040876,47.8362787965948,68.3415567665623,19.629520789082,0.1252496026394,P92
93,Harlem Inner Block Park V 121,Harlem Inner Block Parks,1724 W Franklin St,"1724 WEST FRANKLIN ST, BALTIMORE, MD, 21223",0.770827103275943,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,33577.3628540039,1006.16839160323,41.2705558473329,82.0030939276083,61.0437997473538,0.470545917678143,P93
94,Harlem Inner Block Park W 122,Harlem Inner Block Parks,513 N Mount St,"513 NORTH MOUNT ST, BALTIMORE, MD, 21223",0.641201594760235,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,27930.8533325195,1039.80406868477,63.7991688025021,92.2890517373365,48.158807529749,0.30879751227095,P94
95,Harlem Inner Block Park ZB 126,Harlem Inner Block Parks,1201 Edmondson Ave,"1201 EDMONDSON AVE, BALTIMORE, MD, 21223",0.321625483134742,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,14010.0620117188,456.863957868476,99.5260980253512,99.9795950857756,85.5403395508191,0.275121731322668,P95
96,Harlem Square Park, ,1500 Edmondson Ave,"1500 EDMONDSON AVE, BALTIMORE, MD, 21223",3.88478708409334,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,9,Western,40,Unknown,169222.002258301,1627.82218859447,59.7150378030009,93.5197532257315,74.6331178848072,2.89936091886292,P96
97,Harwood Avenue Park,Harwood Park,420 E 27th St,"420 EAST 27TH ST, BALTIMORE, MD, 21218",0.366425328380141,Y,BCRP,Mini Park,Y,,Clifton,14,Northern,43,Unknown,15961.5512084961,641.697962967719,53.6062752660025,66.9542691035485,0.231771557703031,0.000849276485596601,P97
98,Heath Street Park, ,1701 S Charles St,"1701 SOUTH CHARLES ST, BALTIMORE, MD, 21230",0.108571409272751,Y,BCRP,Green Space - Garden,Y,,Carroll,10,Southern,46,Unknown,4729.38946533203,309.947888958437,15.1590540588183,57.0912713337889,,,P98
99,Helen Mackall Park, ,600 Braddish Ave,"600 BRADDISH AVE, BALTIMORE, MD, 21216",3.08516877810298,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,9,Western,40,Unknown,134390.489501953,1727.19974154447,22.2932288577296,90.1136019742669,8.78897248461593,0.271156804259359,P99
100,Henry H. Garnet Park, ,415 W Lafayette Ave,"415 WEST LAFAYETTE AVE, BALTIMORE, MD, 21217",0.493669426060218,Y,BCRP,Mini Park,Y,,Druid Hill,11,Western,40,Yes,21504.3264160156,602.303454314925,18.9147205918858,78.4160887321001,7.11551051980318,0.0351273809625714,P100
101,Henry Street Park, ,1240 Henry St,"1240 HENRY ST, BALTIMORE, MD, 21230",0.311314799441242,Y,BCRP,Green Space,Y,,Carroll,11,Southern,46,Unknown,13560.9268798828,471.437737651554,38.0127594929947,87.6167692907145,14.9453375108199,0.046527419715867,P101
102,Herring Run Park, ,Harford Rd & Argonne Dr,"HARFORD RD & ARGONNE DR, BALTIMORE, MD, 21214",387.908608410798,Y,BCRP,Citywide Park,Y,,Clifton,"2,3,13,14",Eastern/Northeastern/Southeastern,43/45,Unknown,16897366.571106,58420.7554543202,66.6434358685159,98.4062055506364,91.9891744649586,356.836781241288,P102
103,Hilton Park, ,3100 Phelps La,"3100 PHELPS LN, BALTIMORE, MD, 21229",8.46811356686888,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,9,Southwestern,40,Unknown,368872.502380371,2746.22140578369,42.0303857372631,90.1566064841542,21.1509096040847,1.79109737443568,P103
104,Hoes Heights Park, ,1024 W 43rd St,"1024 WEST 43RD ST, BALTIMORE, MD, 21211",0.452277056210439,Y,BCRP,Mini Park,Y,,Druid Hill,14,Northern,40,Unknown,19701.2673950195,899.806650566432,59.053573489711,96.4982353066318,13.0007094236091,0.0587996962637313,P104
105,Howard's Park,Howard & Centre Park,310 W Centre St,"310 WEST CENTRE ST, BALTIMORE, MD, 21201",0.628876096444458,Y,BCRP,Special Use - Facility,Y,,Carroll,11,Central,40,Unknown,27393.952331543,870.519392704546,44.1780285575619,75.8401149650064,8.07041746822338,0.0507533323663758,P105
106,Howard St. Park, ,N Howard St and Dolphin St,"N HOWARD ST & DRUID HILL AVE, BALTIMORE, MD, 21201",0.073995211507114,Y,BCRP,Green Space,Y,,Carroll,11,Central,40,Unknown,3223.24432373047,244.644011479053,35.2642017062866,35.264201706174,4.67498145439734,0.00345929008933735,P106
107,Hudson & Potomac Street Park,Two Rivers Park,903 S Curley St,"903 SOUTH CURLEY ST, BALTIMORE, MD, 21224",0.0809724949083445,Y,BCRP,Green Space,Y,,Patterson,1,Southeastern,46,Unknown,3527.17596435547,386.06106983185,21.8352785165666,48.0929194671087,,,P107
108,Hull Street Park, ,900 Hull St,"900 HULL ST, BALTIMORE, MD, 21230",0.06988269253589,Y,BCRP,Green Space,Y,,Carroll,11,Southern,46,Unknown,3044.10217285156,222.711473924165,49.6670864080475,59.2862838973862,0.0227456956739755,1.58954317360659e-05,P108
109,Hyde Park, ,3214 Wylie Ave,"3214 WYLIE AVE, BALTIMORE, MD, 21215",0.874167942878258,Y,BCRP,Mini Park,Y,,Druid Hill,6,Northern,40,Unknown,38078.9078369141,802.114058746469,47.130663862775,94.5577066733523,45.3011883669515,0.396011634530357,P109
110,Indiana Ave Park, ,2810 Indiana Ave,"2810 INDIANA ST, BALTIMORE, MD, 21230",1.05969823216394,Y,BCRP,Mini Park,Y,,Carroll,10,Southern,46,Unknown,46160.6395874023,976.353461383808,20.8172141668551,94.5646856221284,20.5153245961833,0.217402271281401,P110
111,Irvin Luckman Park, ,2809 Glen Ave,"2809 GLEN AVE, BALTIMORE, MD, 21215",6.09964962314404,Y,BCRP,Neighborhood Park,Y,,Druid Hill,5,Northwestern,41,Unknown,265701.800720215,2250.44059607746,89.1541927584755,97.8925790151318,61.93374334224,3.77777156445579,P111
